author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307822693/;Москва;sale;flat;9;18;2;66.4;69700000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
ID 74991203;homeowner;https://www.cian.ru/sale/flat/308079051/;Москва;sale;flat;3;24;2;53.2;19570000;Донской;Новоданиловская набережная;8к2;Верхние котлы;Новоданиловская 8
Среда;developer;https://www.cian.ru/sale/flat/304753839/;Москва;sale;flat;12;30;2;56.31;21423871;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Москва;sale;flat;7;9;2;108.3;154000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 73038306;real_estate_agent;https://www.cian.ru/sale/flat/308737761/;Москва;sale;flat;6;12;2;44.8;19490000;Марьина роща;1-й Стрелецкий проезд;3;Марьина Роща;
MR Group;developer;https://www.cian.ru/sale/flat/306614015/;Москва;sale;flat;3;28;2;60.6;22803806;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679729/;Москва;sale;flat;9;20;2;59.0;25370000;Даниловский;;;Тульская;Форст ЖК
ID 47664046;unknown;https://www.cian.ru/sale/flat/308204535/;Москва;sale;flat;5;17;2;65.2;21500000;Черемушки;Профсоюзная ;30К2;Профсоюзная;
Главстрой;developer;https://www.cian.ru/sale/flat/307942375/;Москва;sale;flat;8;13;2;53.25;25432093;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/305909779/;Москва;sale;flat;6;10;2;178.1;150000000;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308564452/;Москва;sale;flat;8;12;2;38.3;18315000;Хорошевский; Куусинена;6К10;Полежаевская;
Tekta Group;developer;https://www.cian.ru/sale/flat/303224289/;Москва;sale;flat;16;34;2;42.4;22349040;Обручевский;;;Воронцовская;Эвер ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/304519685/;Москва;sale;flat;39;41;2;56.9;39000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308642587/;Москва;sale;flat;6;8;2;53.5;27000000;Замоскворечье; Павла Андреева;28К7;Шаболовская;
MR Group;developer;https://www.cian.ru/sale/flat/308909118/;Москва;sale;flat;6;13;2;85.19;126021567;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/305274218/;Москва;sale;flat;2;5;2;84.63;139639500;Басманный;Потаповский переулок;6С1;Чистые пруды;Абрикосов
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/307935729/;Москва;sale;flat;8;10;2;59.7;55000000;Таганский;Котельническая набережная;1/15кВ;Таганская;
Sminex;developer;https://www.cian.ru/sale/flat/293713880/;Москва;sale;flat;2;14;2;85.6;175450000;Якиманка;;;Боровицкая;Лаврушинский ЖК
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/307575540/;Москва;sale;flat;4;21;2;54.0;59000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
3SGroup;developer;https://www.cian.ru/sale/flat/305952760/;Москва;sale;flat;3;17;2;50.9;11860000;;;;Корниловская;FOREVILLE
TOUCH;developer;https://www.cian.ru/sale/flat/302838489/;Москва;sale;flat;8;13;2;64.0;37645480;Южнопортовый;;к3;Дубровка;Шампайн ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301763282/;Москва;sale;flat;39;41;2;56.9;40000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/308421741/;Москва;sale;flat;13;17;2;52.2;19950000;Теплый Стан;Ленинский проспект;127;Тропарёво;
Пионер;developer;https://www.cian.ru/sale/flat/303126557/;Москва;sale;flat;3;18;2;48.5;35800507;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
ID 52825739;homeowner;https://www.cian.ru/sale/flat/307814530/;Москва;sale;flat;7;15;2;46.5;23900000;Хорошевский;Ходынский бульвар;20А;ЦСКА;Лайнер
ID 95814020;realtor;https://www.cian.ru/sale/flat/308490853/;Москва;sale;flat;12;17;2;71.0;17500000;; Никитина;11к4;Рассказовка;
Absolute Premium;developer;https://www.cian.ru/sale/flat/308261025/;Москва;sale;flat;4;17;2;49.8;57968000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308872981/;Москва;sale;flat;37;37;2;48.0;42500000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
EraOneHolding;developer;https://www.cian.ru/sale/flat/305196550/;Москва;sale;flat;7;8;2;121.8;141031579;Арбат; Арбат;24;Смоленская;Turandot Residences
Анна Журавлева;realtor;https://www.cian.ru/sale/flat/308958260/;Москва;sale;flat;2;9;2;43.5;10000000;Печатники;Шоссейная ;8;Печатники;
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308686231/;Москва;sale;flat;4;9;2;47.0;26700000;Раменки; Дружбы;2/19;Ломоносовский проспект;
КОРТРОС;developer;https://www.cian.ru/sale/flat/296640098/;Москва;sale;flat;3;49;2;58.94;23988580;Марьина роща;;;Марьина Роща;Тэйт ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307113534/;Москва;sale;flat;16;19;2;45.8;32000000;Беговой;Ленинградский проспект;29к1;Динамо;Царская площадь
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308567756/;Москва;sale;flat;6;12;2;49.9;24740000;Филевский парк;Кастанаевская ;7;Багратионовская;
Sense Development;developer;https://www.cian.ru/sale/flat/306043638/;Москва;sale;flat;10;13;2;64.5;38046348;Даниловский; Даниловский Вал;1А;Тульская;Logos
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/299515958/;Москва;sale;flat;6;6;2;65.8;46999999;Даниловский;;;Павелецкая;Опус ЖК
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/306387862/;Москва;sale;flat;2;9;2;45.0;15200000;Очаково-Матвеевское;Веерная ;3К5;Матвеевская;
MR Group;developer;https://www.cian.ru/sale/flat/308088531/;Москва;sale;flat;2;7;2;134.71;323304000;Арбат;Крестовоздвиженский переулок;4;Арбатская;LUCE
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/308833064/;Москва;sale;flat;15;28;2;64.5;49000000;Раменки;Винницкая ;8к2;Раменки;Настоящее
Золотые Ключи;real_estate_agent;https://www.cian.ru/sale/flat/304140272/;Москва;sale;flat;5;6;2;57.0;25000000;Замоскворечье;Большая Серпуховская ;31К5;Серпуховская;
Киноцентр;developer;https://www.cian.ru/sale/flat/308070371/;Москва;sale;flat;4;20;2;45.2;42036000;Пресненский; Красная Пресня;3;Краснопресненская;SkyView
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307848098/;Москва;sale;flat;21;24;2;52.4;37200000;Арбат; Новый Арбат;16;Арбатская;
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/308852244/;Москва;sale;flat;21;22;2;39.9;11500000;; Картмазовские Пруды;2к3;Филатов Луг;Филатов луг
Группа Родина;developer;https://www.cian.ru/sale/flat/305476395/;Москва;sale;flat;5;19;2;42.3;23067380;Можайский;;;Давыдково;Родина Парк ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/305646078/;Москва;sale;flat;24;24;2;57.4;37480000;Хорошево-Мневники;Шелепихинская набережная;34к3зд7;Шелепиха;Сердце Столицы
ID 73038306;real_estate_agent;https://www.cian.ru/sale/flat/307113976/;Москва;sale;flat;4;9;2;45.0;17490000;Войковский; Зои и Александра Космодемьянских;11;Войковская;
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/308919134/;Москва;sale;flat;2;78;2;54.9;46939500;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308629847/;Москва;sale;flat;26;41;2;46.0;21500000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/308359158/;Москва;sale;flat;1;6;2;40.0;10000000;Перово;1-я Владимирская ;12К1;Перово;
PIONEER;developer;https://www.cian.ru/sale/flat/306809947/;Москва;sale;flat;2;22;2;45.8;23267700;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306226871/;Москва;sale;flat;3;14;2;106.9;160350000;Хамовники;переулок 1-й Тружеников;16;Киевская;Brodsky
Екатерина Боброва;realtor;https://www.cian.ru/sale/flat/308798471/;Москва;sale;flat;9;9;2;50.0;17500000;Северное Тушино; Фомичевой;3С1;Сходненская;
Среда;developer;https://www.cian.ru/sale/flat/303626038/;Москва;sale;flat;3;27;2;55.3;19419590;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/306829886/;Москва;sale;flat;5;14;2;73.1;65520000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302925946/;Москва;sale;flat;22;23;2;35.1;8800000;Южнопортовый;Волгоградский проспект;30С1;Волгоградский проспект;HighWay
MR Group;developer;https://www.cian.ru/sale/flat/308399369/;Москва;sale;flat;5;11;2;75.79;56842500;Филевский парк;;;Фили;Фили Сити ЖК
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/307963741/;Москва;sale;flat;1;16;2;56.0;13750000;Очаково-Матвеевское;Матвеевская ;6;Матвеевская;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/306371748/;Москва;sale;flat;5;9;2;45.0;15990000;Ломоносовский; Гарибальди;4К5;Новаторская;
Ташир;developer;https://www.cian.ru/sale/flat/274701407/;Москва;sale;flat;2;17;2;45.0;28192500;Раменки;Мичуринский проспект;вл30Б;Ломоносовский проспект;Legacy
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/305024150/;Москва;sale;flat;12;16;2;54.0;16399000;Можайский;Можайское шоссе;33;Рабочий посёлок;
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/307877599/;Москва;sale;flat;8;9;2;40.0;14200000;Левобережный;Беломорская ;7К2;Беломорская;
Ташир;developer;https://www.cian.ru/sale/flat/302722377/;Москва;sale;flat;3;16;2;47.4;22190784;Даниловский;Малая Тульская ;2;Тульская;DECO RESIDENCE (Апартаменты премиум-класса)
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/307103955/;Москва;sale;flat;24;24;2;58.0;37490000;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
Вертикаль;real_estate_agent;https://www.cian.ru/sale/flat/308884159/;Москва;sale;flat;6;9;2;54.0;33000000;Хамовники; Плющиха;42;Киевская;
Sminex;developer;https://www.cian.ru/sale/flat/294328857/;Москва;sale;flat;3;6;2;124.3;270980000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303778337/;Москва;sale;flat;9;14;2;99.9;134500000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Plus Development;developer;https://www.cian.ru/sale/flat/308704170/;Москва;sale;flat;3;23;2;41.5;8342330;;;;Филатов Луг;Детали ЖК
Dominanta;developer;https://www.cian.ru/sale/flat/304842271/;Москва;sale;flat;16;34;2;56.1;36913800;Раменки;проезд 4-й Сетуньский;10Ас2;Парк Победы;hideOUT
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307079313/;Москва;sale;flat;9;14;2;77.0;62000000;Раменки;проспект Генерала Дорохова;39к1Г;Минская;Собрание клубных домов West Garden
ArArAt ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/307742282/;Москва;sale;flat;4;13;2;65.0;29990000;Академический;Новочеремушкинская ;27;Академическая;Новочерёмушкинская, 27
Донстрой;developer;https://www.cian.ru/sale/flat/306760385/;Москва;sale;flat;2;16;2;85.4;61402600;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
ID 85604823;unknown;https://www.cian.ru/sale/flat/305015991/;Москва;sale;flat;26;41;2;50.0;34000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
